subject,body,label
Double Your Income in 7 Days,Click here to claim your reward instantly.,spam
Earn $5000 working from home,Invest in Angel One stocks now! Click the link to earn big rewards.,spam
Unauthorized Transaction Alert,Confirm your identity to prevent account closure. Login here: [malicious link],phishing
Confirm Your Identity,Unauthorized transaction detected. Confirm your account to avoid charges.,phishing
Welcome to Our Newsletter,Your order has been shipped and will arrive within 3-5 business days.,legit
Urgent: Verify Your Account,Invest in Angel One stocks now! Click the link to earn big rewards.,spam
Meeting Reminder,Kindly find the invoice for your recent purchase.,legit
Claim Your Gift Card,Invest in Angel One stocks now! Click the link to earn big rewards.,spam
Claim Your Gift Card,Exclusive investment opportunity. Don't miss out!,spam
Team Outing Schedule,Your subscription has been renewed successfully.,legit
Claim Your Gift Card,Earn $1000 per day online with this simple trick.,spam
Team Outing Schedule,Your subscription has been renewed successfully.,legit
Monthly Report Submission,Kindly find the invoice for your recent purchase.,legit
Free iPhone Giveaway,Invest in Angel One stocks now! Click the link to earn big rewards.,spam
Project Update,Kindly find the invoice for your recent purchase.,legit
Confirm Your Identity,Security alert: Login attempt from an unrecognized device. Verify your account immediately.,phishing
Your Account is Locked,Immediate action required: Your account has been flagged for suspicious activity.,phishing
Your Account is Locked,Immediate action required: Your account has been flagged for suspicious activity.,phishing
Reset Your Password Now,Immediate action required: Your account has been flagged for suspicious activity.,phishing
Team Outing Schedule,Kindly find the invoice for your recent purchase.,legit
Free iPhone Giveaway,Earn $1000 per day online with this simple trick.,spam
Urgent: Verify Your Account,Act now to secure your limited-time offer.,spam
Welcome to Our Newsletter,Please review the updated HR policy attached in this email.,legit
Earn $5000 working from home,Free gift card available for a limited time.,spam
Unusual Login Attempt Detected,"To continue using your account, please confirm your email address.",phishing
Welcome to Our Newsletter,Your order has been shipped and will arrive within 3-5 business days.,legit
Action Required: Account Verification,Security alert: Login attempt from an unrecognized device. Verify your account immediately.,phishing
Get Rich Quick!,Earn $1000 per day online with this simple trick.,spam
Action Required: Account Verification,You have been selected for account verification. Click the link to proceed.,phishing
Team Outing Schedule,Thank you for attending the meeting. Notes are attached.,legit
Earn $5000 working from home,Invest in Angel One stocks now! Click the link to earn big rewards.,spam
Meeting Reminder,Please find the attached report for your review.,legit
Limited Time Offer! Buy Now,Invest in Angel One stocks now! Click the link to earn big rewards.,spam
Double Your Income in 7 Days,Invest in Angel One stocks now! Click the link to earn big rewards.,spam
Double Your Income in 7 Days,Earn $1000 per day online with this simple trick.,spam
Team Outing Schedule,Please review the updated HR policy attached in this email.,legit
Your Account Has Been Suspended,Your payment could not be processed. Update your billing information now.,phishing
Appointment Confirmation,Your subscription has been renewed successfully.,legit
Confirm Your Identity,"To continue using your account, please confirm your email address.",phishing
Confirm Your Identity,You have been selected for account verification. Click the link to proceed.,phishing
Lowest Price Ever! Shop Now,Invest in Angel One stocks now! Click the link to earn big rewards.,spam
Confirm Your Identity,Your account has been suspended due to suspicious activity. Click here to verify your details.,phishing
